0_№ п/п;1_Дата оказания поддержки;1_Наименование юридического лица или фамилия, имя и отчество (если имеется) индивидуального предпринимателя;1_Размер поддержки (тыс. руб)
1;05.09.2012;ООО Группа Компаний Априори;500
2;10.09.2012;ООО БистМед;500
3;10.09.2012;ООО СОВиКОМ-КОНСАЛТ;499,79
4;17.09.2012;ООО Лига Штукатуров;500
5;17.09.2012;ИП Кравцова Светлана Владимировна;500
6;20.09.2012;ООО ПФ Логос;236,25
7;20.09.2012;ООО ЛК СОТА Логистик;5000
8;20.09.2012;ООО Астлайн;5000
9;20.09.2012;ООО Морозовская типография;4607,97
10;20.09.2012;ООО Фабрика перевозок;1066,39
11;20.09.2012;ООО СМУ-40;1423,73
12;24.09.2012;ООО МЖС Групп;3072,81
13;05.10.2012;ООО Секрет здоровья;330
14;05.10.2012;ООО Ноосфера;5000
15;08.10.2012;ООО Кьюкамберс;500
16;08.10.2012;ООО Интернет Логистика;494,25
17;08.10.2012;ООО Компания Вольт;451,65
18;08.10.2012;ООО Терра Ботэ;300
19;10.10.2012;ООО ИСТВАРД;3408,71
20;15.10.2012;ООО Лотос;5000
21;15.10.2012;ООО Термо-ВФ;5000
22;15.10.2012;ООО Юрвесп;1094,49
23;15.10.2012;ООО Полиграф Групп;500
24;15.10.2012;ООО Сибгазспецстрой;5000
25;15.10.2012;ООО СитиЛэйн+;500
26;15.10.2012;ООО Фестиваль Тур;230,47
27;15.10.2012;ООО БРАС Консалтинг груп;500
28;15.10.2012;ООО Волшебная улыбка;500
29;15.10.2012;ООО МосФарма;500
30;15.10.2012;ООО Инвитро-можайское;500
31;15.10.2012;ООО Компания Бухгалтерия и консалтинг+;500
32;15.10.2012;ООО Гранд-двери;4949,76
33;15.10.2012;ООО Хидэко М;500
34;15.10.2012;ООО ХЕЛПКИТ;500
35;15.10.2012;ООО Решение;500
36;15.10.2012;ООО Трак-сток;5000
37;15.10.2012;ООО Систелен;500
38;16.10.2012;ООО Парма Медикал;2489,14
39;17.10.2012;ООО Ясень;576,38
40;17.10.2012;ИП Комаров Илья Александрович;1380,77
