"0_ID";"1_Адрес";"1_Режим работы";"1_Доступность"
"201";"Театральная аллея, вл.1, стр.1";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"202";"Красноармейская ул., д. 1А, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"203";"Тимирязевская ул., д. 56, соор. 3";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"204";"Ленинградский пр-т, д. 33 соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"205";"Беговая ул., д. 24, соор. 3";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"206";"Ленинградское ш., д. 112/1, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"207";"2-я Песчаная ул., д. 4Б, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"208";"Н. Масловка ул., д. 10А, стр. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"209";"Фестивальная ул., д. 8А, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"210";"Михалковская ул., д. 2, стр. 2";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"211";"Ленинградский проспект, д. 71А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"212";"Старопетровский пр-д, д. 2, стр. 3";"С 8-00 до 18-00";"Приспособлен, бесплатный"
"213";"Беговая Аллея, д. 3";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"214";"1-й Войковский пр-д, д. 4, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"215";"Левобережная ул., д.12 А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"1";"Манежная ул., д. 2-10, соор. 1";"С 7-00 до 24-00";"Не приспособлен, бесплатный"
"2";"Красная площадь, д. 1, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"3";"Кремлевский пр-д, д. 1, соор. 1";"Круглосуточно";"Не приспособлен, бесплатный"
"4";"Б. Грузинская ул, д. 13А, стр. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"5";"Серафимовича ул., д. 5/16";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"6";"Сущевский Вал ул., д. 56";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"7";"ул. Усачева, д. 1А, стр. 2";"С 9-00 до 19-00";"Не приспособлен, бесплатный"
"8";"Б. Садовая ул., д. 16, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"9";"Плющиха ул., д. 57, стр. 4";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"10";"Семеновская наб., д. 3, стр. 13А";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"11";"Петровка ул., д. 30/7";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"12";"С.-Черногрязская ул., д. 5/9";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"13";"Земляной вал ул., д. 1/4, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"14";"Новослободская ул.,  д. 73/68, стр. 5";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"15";"Марксистская ул, д. 2, стр. 2";"Временно закрыт по техническим причинам";"Не приспособлен, бесплатный"
"16";"Б. Черкасский пер., д. 13/14, стр. 3";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"17";"Таганская ул., д. 40, стр. 4А";"С 10-00 до 20-00";"Не приспособлен, бесплатный"
"18";"Волгоградский просп., д. 22";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"19";"Моховая ул., д. 10, стр. 8";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"20";"Долгоруковская ул., д. 39/6";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"21";"Покровка ул., д. 19";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"22";"Миусская пл., вл. 1, соор. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"23";"Андроньевская пл., д. 5";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"24";"Покровский бульвар, вл. 10, стр. 7";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"25";"В. Красносельская ул., вл. 17, соор. А";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"26";"Лужнецкий пр-д, д. 1А, стр. 2";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"27";"Ленинский просп., вл. 8, соор. А";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"28";"В. Радищевская ул., д. 22";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"29";"С. Басманная, д. 15, стр. 21";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"30";"Мароновский пер., д. 10";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"31";"Рогожский Вал ул., д. 3";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"32";"Трехгорный Вал, д. 7, стр. 1";"С 8-00 до 18-00";"Не приспособлен, бесплатный"
"33";"Тишинская пл., вл. 1А, соор. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"34";"Конюшковская ул., д. 29, стр. 1";"С 8-00 до 20-00";"Не приспособлен, бесплатный"
"35";"Б. Патриарший пер., вл. 7, соор. 1";"С 8-00 до 24-00";"Не приспособлен, бесплатный"
