0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
52;6986;6986;VAO___162;сведения отсутствуют;15-я Парковая ул. 26к4;бесплатно;20299,0278;14990,8109;18910;94138;площадка спортивная универсальная;;нет;08:00-22:00;искусственное;прожекторное освещение;да;нет;;;13780;междворовые спортивные площадки;муниципалитет;ВАО;Восточное Измайлово;нет;да;нет;нет;нет;нет;нет;нет;1027700554056;Администрация муниципального округа Восточное Измайлово;(499) 463-62-09;нет;v_izml@vao.mos.ru;Внесены изменения;0
53;1385;1385;DOGM__793;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 920;Восточный / Перово / Перовская ул. / Дом- 37;бесплатно;17587,1501;8951,082;2122209;10295;площадка спортивная универсальная;;нет;18.00 - 21.00;отсыпное;уличные столбы освещения;да;нет;;;10295;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Перово;нет;нет;нет;нет;нет;нет;нет;нет;1037700070726;ГБОУ СОШ № 920;(495) 368-07-90;schv920.mskobr.ru;shkolamos920@rambler.ru;;
54;4460;4460;DOGM__3868;Государственное бюджетное образовательное учреждение города Москвы Московская международная гимназия;Восточный / Перово / Федеративный просп. / Дом- 8А;бесплатно;19013,7148;9986,9572;2122406;11631;площадка спортивная универсальная;;нет;8.30-20.00;отсыпное;без освещения;да;нет;;;11631;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Перово;нет;нет;нет;нет;нет;нет;нет;нет;1027739756340;ГБОУ ММГ;(495) 303-31-50;www.gymmg.mskobr.ru;mmg1509@mail.ru;;
55;4494;4494;DOGM__3902;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 406;Восточный / Перово / Зелёный просп. / Дом- 59;бесплатно;19226,6637;9716,5739;2122255;10193;площадка спортивная универсальная;спортивная площадка;нет;с 8:00 до 20:00 ежедневно;отсыпное;без освещения;да;нет;;;10193;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Перово;нет;нет;нет;нет;нет;нет;нет;нет;1037700108841;ГБОУ СОШ 406;(495) 301-35-49;school-406.ru;school-406@mail.ru;;
56;4318;4318;DOGM__3726;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 672;Восточный / Перово / Зелёный просп. / Дом- 14;бесплатно;17823,8493;9242,1733;2122244;10233;площадка спортивная универсальная;стадион;нет;с 08:00 до 20:00 все дни;специальное;без освещения;да;нет;;;10233;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Перово;нет;нет;нет;нет;нет;нет;нет;нет;1037739364134;ГБОУ СОШ № 672, ДЮСШ № 57;(495) 306-54-20;www.sch672.ru;sch672adm@yandex.ru;;
22;1237;1237;DOGM__645;Государственное бюджетное образовательное учреждение города Москвы специальная (коррекционная) общеобразовательная школа-интернат II вида № 10;Восточный / Вешняки / Реутовская ул. / Дом- 22Б;бесплатно;21254,4443;7467,4281;2122251;10408;площадка спортивная универсальная;;нет;будни с 6:00 до 22:00, выходные с 10:00 до 21:00;искусственное;уличные столбы освещения;нет;нет;;;10408;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1047720025264;ГБОУ СКОШИ №10;(495) 370-03-03;shk10.mskobr.ru;shkola10inter@mail.ru;;
23;890;890;DOGM__298;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 404";Восточный / Вешняки / Реутовская ул. / Дом- 16А;бесплатно;21253,5712;7598,235;2122182;8240;площадка спортивная универсальная;нет;нет;с 10:00 до 21:00;искусственное;уличные столбы освещения;да;нет;;;8240;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1027700493732;"ГБОУ СОШ ""Школа здоровья"" № 404";(495) 370-06-51;sch404. edusite.ru;40406@mail.ru;;
24;3851;3851;DOGM__3259;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 891 имени Алии Молдагуловой;Восточный / Вешняки / ул. Молдагуловой / Дом- 13А;бесплатно;20815,1;6045,2327;2122235;10292;площадка спортивная универсальная;;нет;будни с 8.00 до 21.00, выходные с 8.00 до 21.00;искусственное;без освещения;да;нет;;;10292;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1037739245884;ГБОУ СОШ № 891;(495) 375-99-92;schv891.mskobr.ru;sch.891@mail.ru;;
25;2118;2118;DOGM__1526;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 892";Восточный / Вешняки / Реутовская ул. / Дом- 2А;бесплатно;21013,5876;8291,8611;2122238;10335;площадка спортивная универсальная;;нет;с9.00-до20.00;искусственное;уличные столбы освещения;да;нет;;;10335;общеобразовательные учреждения;Департамент образования города Москвы;ВАО;Вешняки;нет;нет;нет;нет;нет;нет;нет;нет;1027739611954;ГБОУ СОШ№892;(495) 375-84-86;schz892.mskobr.ru;sch892@mail.ru;;
17;5250;5250;SVAO__171;"площадка спортивная универсальная ""Улица Летчика Бабушкина, 11/2к1""";ул. Летчика Бабушкина 11/2к1;бесплатно;10923,5896;21640,9677;1088;85917;площадка спортивная универсальная;"площадка спортивная универсальная ""Улица Летчика Бабушкина, 11/2к1""";нет;круглосуточно;грунтовое;без освещения;да;нет;;;14622;междворовые спортивные площадки;префектура;СВАО;Бабушкинский;нет;нет;нет;нет;нет;нет;нет;нет;1027716010850;"ГКУ ""ИС района Бабушкинский""";(495) 471-11-70;babushkinsky.svao.mos.ru;1840365@mail.ru;Внесены изменения;
