0_OBJECTID;0_UIDNFTN;0_Код;0_АС УР OLD_ID;0_Наименование объекта;1_Адресный ориентир;1_Стоимость посещения;0_Координата X;0_Координата Y;0_УНОМ БТИ;0_ID спортивной зоны/зоны отдыха;0_Тип спортивной зоны/зоны отдыха;0_Название спортивной зоны/зоны отдыха;1_Наличие проката оборудования и инвентаря (да/нет);1_Время работы;1_Тип покрытия;0_Длина, протяженность (м,);0_Ширина (м,);1_Освещение;1_Наличие бесплатных занятий (да/нет);1_Стоимость проката оборудования и инвентаря (указать наименование);0_Уточненные координаты (широта);0_Уточненные координаты  (долгота);0_ID объекта;0_Тип объекта;1_Ведомственная принадлежность;1_Округ;1_Район;1_Наличие сервиса технического обслуживания инвентаря (да/нет);1_Наличие раздевалки (да/нет);1_Наличие звукового сопровождения (да/нет);1_Наличие точки питания (да/нет);1_Наличие туалета (да/нет);1_Наличие точки доступа в интернет, Wi-Fi (да/нет);1_Наличие банкомата (да/нет);1_Наличие медпункта (да/нет);1_ОГРН эксплуатирующей организации;1_Наименование эксплуатирующей организации, предоставляющей услугу по спортивной зоне/зоне объекта;1_Телефон эксплуатирующей организации;1_Сайт эксплуатирующей организации;1_Электронная почта эксплуатирующей организации;0_Статус;0_Комментарии
24;7150;7150;VAO___326;сведения отсутствуют;Хабаровская ул. 19к1;бесплатно;20319,3099;17679,5666;28642;91437;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14035;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0
25;6886;6886;VAO___62;сведения отсутствуют;Алтайская ул. 34;бесплатно;20965,9529;17090,6029;0;91439;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14037;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0
26;7008;7008;VAO___184;спортивная площадка;Хабаровская ул. 12/23;бесплатно;20626,6902;17257,5553;0;94565;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14061;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0
27;7009;7009;VAO___185;сведения отсутствуют;Черницынский пр. 10к2;бесплатно;18078,8138;17311,3981;0;101485;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14061;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0
28;7023;7023;VAO___199;сведения отсутствуют;Сахалинская ул. 7к1;бесплатно;19869,9143;17842,6825;0;93176;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14023;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Внесены изменения;-0
29;7024;7024;VAO___200;сведения отсутствуют;Сахалинская ул. 10/17;бесплатно;20066,2355;18085,9674;0;91442;городок тренажерный (воркаут);;нет;пн.-вс. с 07:00 до 23:00;искусственное;63;63;без освещения;нет;нет;;;14038;плоскостные спортивные сооружения;префектура;ВАО;Гольяново;нет;нет;нет;нет;нет;нет;нет;нет;1027718018382;Управа района Гольяново;(495) 467-65-84;www.golyanovo-uprava.ru;socialkagol@mail.ru;Добавлено;-0
49;7144;7144;VAO___320;сведения отсутствуют;Щелковский пр-д, д. 15 к. 1, 2;бесплатно;17433,4938;15693,6001;29878;101417;городок тренажерный (воркаут);;нет;будни: c 10:00 до 22:00 выходные c 12:00 до 24:00;специальное;100;50;уличные столбы освещения;да;нет;;;17796;спортивные комплексы;префектура;ВАО;Северное Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1107746150071;"ООО ""АТЛАНТ""";(499) 940-95-17;нет;atlant2011@bk.ru;добавлено;-0
7;592;592;DK____276;Тренажеры;ул. Менжинского, д.6;бесплатно;11824,476;22569,4405;0;0;городок тренажерный (воркаут);Тренажеры;нет;06.00-24.00;специальное;2500;1800;без освещения;да;нет;;;0;плоскостные спортивные сооружения;Департамент культуры города Москвы;СВАО;Лосиноостровский;нет;да;да;да;да;да;нет;нет;1027739522030;"ГАУК г. Москвы ""ПКиО ""Бабушкинский""";(499) 184-34-22;www.parkbabushkinskiy.jimdo.com;babkapark@mail.ru;Подтверждено;
8;7014;7014;VAO___190;сведения отсутствуют;3-я Парковая ул. 30;бесплатно;17889,9009;14657,7543;0;91897;городок тренажерный (воркаут);;нет;ежедневно до 22.00;искусственное;600;300;уличные столбы освещения;нет;нет;;;14796;физкультурно-оздоровительные комплексы;муниципалитет;ВАО;Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1077758644853;"ГКУ ""ИС Измайлово""";(499) 367-11-25;www.gu-is.ru;is_izmailovo@mail.ru;Внесены изменения;-0
9;7041;7041;VAO___217;сведения отсутствуют;Измайловский пр. 5к2;бесплатно;16904,5906;14454,2893;8658;91896;городок тренажерный (воркаут);;нет;ежедневно до 22.00;искусственное;300;600;уличные столбы освещения;нет;нет;;;14795;физкультурно-оздоровительные комплексы;муниципалитет;ВАО;Измайлово;нет;нет;нет;нет;нет;нет;нет;нет;1077758644853;"ГКУ ""ИС Измайлово""";(499) 367-11-25;www.gu-is.ru;is_izmailovo@mail.ru;Внесены изменения;-0
