0_OBJECTID;0_UIDNFTN;1_Наименование объекта;1_Количество мест;1_Количество слотов куда можно припарковать велосипед;0_Географические координаты Х;0_Географические координаты Y;1_Описание местоположения;1_Ведомственная принадлежность;1_Наименование оператора общественного проката;1_Интернет-сайт оператора общественного проката
1;1;"Пункт проката велосипедов ""Гоголевский бульвар, вл.1с4""";16;16;6445,2243;8723,3175;Гоголевский б-р у  Вл.1с4 (ст.м.Кропоткинская);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
2;2;"Пункт проката велосипедов ""Гоголевский бульвар, 17с1""";16;16;6383,9039;8884,1112;Гоголевский б-р (напротив д.17с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
3;3;"Пункт проката велосипедов ""Гоголевский бульвар, 29""";16;16;6373,056;9199,2306;Гоголевский б-р (напротив д.29);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
4;4;"Пункт проката велосипедов ""Никитский бульвар, 11/12с3""";8;8;6389,5197;9815,0072;Никитский б-р (напротив д.11/12с3);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
5;5;"Пункт проката велосипедов ""Никитский бульвар, 23/14/9""";8;8;6291,747;10022,0666;Никитский б-р (напротив д.23/14/9);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
6;6;"Пункт проката велосипедов ""Тверской бульвар, 2/1""";16;16;6274,1072;10133,3789;Тверской б-р (напротив д.2/1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
7;7;"Пункт проката велосипедов ""Тверской бульвар, 17с1""";16;16;6487,9325;10492,4124;Тверской б-р (напротив д.17с1);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
8;8;"Пункт проката велосипедов ""Тверской бульвар, 28""";16;16;6715,8268;10866,9538;Тверской б-р (напротив д.28);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
9;9;"Пункт проката велосипедов ""Пушкинская площадь""";8;8;6722,645;10950,467;Пушкинская площадь (у выхода ст.м. Пушкинская);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
10;10;"Пункт проката велосипедов ""Страстной бульвар, 8а""";8;8;6977,1662;11111,7404;Страстной б-р (напротив д.8а);Департамент транспорта и развития дорожно-транспортной инфраструктуры города Москвы;"ЗАО ""Ситибайк""";www.velobike.ru
