0_Код;1_Наименование услуги;1_Стоимость
0100;"Оформление документов, необходимых для погребения";"530,00"
0110;"Оформление заказа на приобретение и доставку предметов похоронного ритуала (гроб, покрывало, тапочки)";"100,00"
0120;Оформление заказа на катафальную перевозку;"100,00"
0130;Оформление заказа на осуществление захоронения (кремации);"150,00"
0140;Оформление документов на организацию погребения через ЦДС;"180,00"
0200;"Предоставление и доставка гроба и других предметов ритуала, необходимых для погребения";"2628,36"
0210;"Гроб, обитый тканью";"1548,36"
0220;Покрывало хлопчатобумажное;"100,00"
0230;Тапочки похоронные;"30,00"
0240;"Доставка предметов ритуала (в морг или домой) в один адрес, включая погрузочно-разгрузочные работы";"950,00"
0300;Перевозка тела (останков) умершего на кладбище (в крематорий);"3415,60"
0400;Погребение тела (кремация с последующей выдачей урны с прахом и ее захоронение);"9190,00"
